"","B","CD4","CD8","Monocytes","NK","Other"
"PD-PDBD415NFR_24",0.234632989828901,0.238548931776214,0.408116060841081,0.118702017553804,0,0
"PD-PDBE283ED7_0",0.470253368085931,0.124409200677434,0,0.33302460543284,0,0.0723128258037945
"PD-PDBE283ED7_6",0.45674196392076,0.223297438759589,0.151442853764778,0.0346501500811799,0,0.133867593473693
"PD-PDBE283ED7_12",0.278926607535567,0.211682606595071,0.0522536270767037,0.271203481771735,0,0.185933677020923
"PD-PDBE283ED7_18",0.433826299037473,0.157237025810565,0.105883908043723,0.210450102493471,0,0.0926026646147683
"PD-PDBE283ED7_24",0.43243997542154,0.205659794810082,0.119752887356788,0.078571355702088,0,0.163575986709502
"PD-PDBE349TEN_0",0.337725177465539,0.164663618920141,0.197365956924698,0.300245246689623,0,0
"PD-PDBE349TEN_6",0.0765490342392176,0.184703086028498,0.0427142680113761,0.62996796315435,0,0.0660656485665579
"PD-PDBE349TEN_12",0.387309502692352,0.124104424562171,0.099560387041133,0.389025685704344,0,0
"PD-PDBE349TEN_18",0.278111245189497,0.237954493638464,0.237802585460121,0.246131675711918,0,0
"PD-PDBE349TEN_24",0.191378321031187,0.423519423479231,0.144716942709088,0.240313741882249,7.1570898245286e-05,0
"PD-PDBF643NF2_0",0.352415570003112,0.249463031705499,0.187321389199306,0.210800009092083,0,0
"PD-PDBF643NF2_6",0.410643536060089,0.188978784164295,0.115937882730606,0.28443979704501,0,0
"PD-PDBF643NF2_12",0.209424533630814,0.253946455142482,0.0488389249538058,0.402571121366384,0,0.0852189649065141
"PD-PDBF643NF2_18",0.308322205636874,0.197911867784976,0.143388437072165,0.350377489505985,0,0
"PD-PDBF643NF2_24",0.290198078886407,0.174927189142796,0.188014692192705,0.346860039778091,0,0
"PD-PDBF846FMK_0",0.323123927455798,0.203153711353415,0.0794876031924008,0.394234757998387,0,0
"PD-PDBF846FMK_6",0.145256509874526,0.257371806028402,0.0500593729101894,0.419086999472513,0,0.128225311714369
"PD-PDBF846FMK_18",0.253182450145579,0.277809966345641,0.156569628008681,0.311159487575659,0.00127846792443968,0
"PD-PDBF846FMK_24",0.374961501725876,0.195803346615536,0.153701569317846,0.275533582340743,0,0
"PD-PDBG800HGQ_0",0.360756669257702,0.164563866629114,0.094746370878193,0.379933093234991,0,0
"PD-PDBG800HGQ_6",0.428869028495959,0.14054380037642,0.144364868945536,0.286222302182085,0,0
"PD-PDBG800HGQ_18",0.367522841841663,0.164585299161351,0.065114974388704,0.402776884608282,0,0
"PD-PDBG800HGQ_24",0.36526035374927,0.215314489406384,0.143598318421756,0.25660512180959,0,0.0192217166129999
"PD-PDBH983VUA_0",0.274605227018815,0.226121752402876,0.0396549314671754,0.447086282795026,0,0.0125318063161071
"PD-PDBH983VUA_6",0.361163135315998,0.264721207234641,0.221464823580476,0.151267081084165,0.00138375278471991,0
"PD-PDBH983VUA_12",0.310665098032892,0.169280191265095,0.248289753851491,0.271764956850523,0,0
"PD-PDBK615WC6_0",0.459393241832585,0.172736158643338,0,0.276514676340442,0,0.0913559231836345
"PD-PDBK615WC6_6",0.331257629855837,0.243539280797461,0,0.236386283712741,0,0.188816805633961
"PD-PDBK615WC6_12",0.352216580077222,0.268098053238357,0,0.180049810891692,0,0.199635555792729
"PD-PDBK615WC6_24",0.455377392370339,0.169988296808881,0.173336536198634,0.18476793841984,0,0.0165298362023058
"PD-PDBN390LVV_0",0.337412320418041,0.179287882941075,0.302372861581411,0.120924139436458,0,0.0600027956230147
"PD-PDBN390LVV_6",0.296004518580281,0.171381859798671,0.204267819404158,0.239288124422102,0.00108286526614431,0.0879748125286442
"PD-PDBN390LVV_12",0.261546704643574,0.379074658742494,0,0.171900527614062,0,0.18747810899987
"PD-PDBN390LVV_18",0.303042756786126,0.287766365627717,0,0.345261106795563,0,0.0639297707905944
"PD-PDBN655REA_0",0.377410631972617,0.226778575680541,0.146425335832904,0.0605809967088957,0,0.188804459805042
"PD-PDBN655REA_6",0.436240099349205,0.227416072504845,0.080999175702177,0.0285671274005116,0,0.226777525043261
"PD-PDBN655REA_12",0.33235452439664,0.23775569255466,0.0824904056490574,0.190648276616457,0,0.156751100783186
"PD-PDBN655REA_18",0.320839912383409,0.273572895515537,0.0342395195553499,0.226096005085713,0,0.145251667459991
"PD-PDBN655REA_24",0.347061832865803,0.280078550849655,0.0598509046717808,0.170880158449789,0,0.142128553162972
"PD-PDBN781WPF_0",0.272529875996216,0.300776758714961,0.0579592011268184,0.314180196596701,0,0.0545539675653037
"PD-PDBN781WPF_6",0.151761975336977,0.281821581019319,0,0.417018379388971,0,0.149398064254732
"PD-PDBN781WPF_12",0.389092562177046,0.291186317116591,0.272079767381617,0.0476413533247461,0,0
"PD-PDBP166AHF_0",0.212743252341505,0.269997120759335,0.0107004241786461,0.350008804087614,0,0.1565503986329
"PD-PDBP166AHF_6",0.431723676253678,0.157447438874628,0.181426758896506,0.109203301282647,0,0.120198824692541
"PD-PDBP166AHF_12",0.298182585510895,0.248149397902404,0,0.352702486593672,0,0.100965529993029
"PD-PDBP166AHF_18",0.207134941676183,0.320932367888596,0.202908530457058,0.135892140709701,0,0.133132019268463
"PD-PDBR042ZHH_0",0.48097891960642,0.0476219551883436,0.123379141968572,0.348019983236664,0,0
"PD-PDBR042ZHH_6",0.448551706341328,0.0995875971581938,0.225000747634482,0.226859948865996,0,0
"PD-PDBR042ZHH_12",0.442927319153357,0.150305432011198,0.209876078682161,0.196891170153284,0,0
"PD-PDBR042ZHH_24",0.324530992443146,0.0937096413595622,0.127412276524885,0.454347089672407,0,0
"PD-PDBT240PR2_0",0.355955829744457,0.316959634559306,0.104515025954867,0.222569509741371,0,0
"PD-PDBT240PR2_6",0.16385062412957,0.319296585102433,0.0351750470363521,0.364395829296083,0.00990848884170958,0.107373425593852
"PD-PDBT240PR2_12",0.398763246660104,0.295180892677982,0.0887156196611908,0.217340241000723,0,0
"PD-PDBT240PR2_18",0.381940081056099,0.315915335398452,0.0618242405268893,0.240320343018559,0,0
"PD-PDBT240PR2_24",0.365480692854829,0.311872434105772,0.086165323068872,0.236481549970527,0,0
"PD-PDBT843RR4_0",0.465701411807146,0.275778927654826,0,0.258519660538027,0,0
"PD-PDBT843RR4_6",0.285527979901354,0.16712307326491,0.225784036559431,0.321564910274306,0,0
"PD-PDBT843RR4_12",0.455701721668182,0.228704668018723,0.0262465344465344,0.28934707586656,0,0
"PD-PDBT843RR4_18",0.322804097658923,0.181743295478604,0.251935941782955,0.243516665079518,0,0
"PD-PDBT843RR4_24",0.447887865394195,0.202823611737785,0,0.349288522868019,0,0
